context,question,text,original_index
"Marshal MacMahon, now closest to Wissembourg, spread his four divisions over 20 miles (32 km) to react to any Prussian invasion. This organization of forces was due to a lack of supplies, forcing each division to seek out basic provisions along with the representatives of the army supply arm that was supposed to aid them. What made a bad situation much worse was the conduct of General Auguste-Alexandre Ducrot, commander of the 1st Division. He told General Abel Douay, commander of the 2nd Division, on 1 August that ""The information I have received makes me suppose that the enemy has no considerable forces very near his advance posts, and has no desire to take the offensive"". Two days later, he told MacMahon that he had not found ""a single enemy post ... it looks to me as if the menace of the Bavarians is simply bluff"". Even though Ducrot shrugged off the possibility of an attack by the Germans, MacMahon tried to warn the other divisions of his army, without success.",Whose conduct made a bad situation worse?,General Auguste-Alexandre Ducrot,7541
"James Wilson said during the Philadelphia Convention in 1787 that, ""Laws may be unjust, may be unwise, may be dangerous, may be destructive; and yet not be so unconstitutional as to justify the Judges in refusing to give them effect."" George Mason agreed that judges ""could declare an unconstitutional law void. But with regard to every law, however unjust, oppressive or pernicious, which did not come plainly under this description, they would be under the necessity as judges to give it a free course."" Chief Justice John Marshall (joined by Justice Joseph Story) took a similar position in 1827: ""When its existence as law is denied, that existence cannot be proved by showing what are the qualities of a law.""",What did George Mason state that judges could do to a law?,declare an unconstitutional law void,7563
"The Sun remained loyal to Thatcher right up to her resignation in November 1990, despite the party's fall in popularity over the previous year following the introduction of the Poll tax (officially known as the Community Charge). This change to the way local government is funded was vociferously supported by the newspaper, despite widespread opposition, (some from Conservative MPs), which is seen as having contributed to Thatcher's own downfall. The tax was quickly repealed by her successor John Major, whom The Sun initially supported enthusiastically, believing he was a radical Thatcherite – despite the economy having entered recession at this time.",Who took over for Thatcher?,John Major,7600
"The physicist Abdus Salam, in his Nobel Prize banquet address, quoted a well known verse from the Quran (67:3-4) and then stated: ""This in effect is the faith of all physicists: the deeper we seek, the more is our wonder excited, the more is the dazzlement of our gaze"". One of Salam's core beliefs was that there is no contradiction between Islam and the discoveries that science allows humanity to make about nature and the universe. Salam also held the opinion that the Quran and the Islamic spirit of study and rational reflection was the source of extraordinary civilizational development. Salam highlights, in particular, the work of Ibn al-Haytham and Al-Biruni as the pioneers of empiricism who introduced the experimental approach, breaking way from Aristotle's influence, and thus giving birth to modern science. Salam was also careful to differentiate between metaphysics and physics, and advised against empirically probing certain matters on which ""physics is silent and will remain so,"" such as the doctrine of ""creation from nothing"" which in Salam's view is outside the limits of science and thus ""gives way"" to religious considerations.",Which verse from the Quran did Abdus Salam quote at his Nobel banquet?,67:3-4,7601
"Though the iPod was released in 2001, its price and Mac-only compatibility caused sales to be relatively slow until 2004. The iPod line came from Apple's ""digital hub"" category, when the company began creating software for the growing market of personal digital devices. Digital cameras, camcorders and organizers had well-established mainstream markets, but the company found existing digital music players ""big and clunky or small and useless"" with user interfaces that were ""unbelievably awful,"" so Apple decided to develop its own. As ordered by CEO Steve Jobs, Apple's hardware engineering chief Jon Rubinstein assembled a team of engineers to design the iPod line, including hardware engineers Tony Fadell and Michael Dhuey, and design engineer Sir Jonathan Ive. Rubinstein had already discovered the Toshiba disk drive when meeting with an Apple supplier in Japan, and purchased the rights to it for Apple, and had also already worked out how the screen, battery, and other key elements would work. The aesthetic was inspired by the 1958 Braun T3 transistor radio designed by Dieter Rams, while the wheel based user interface was prompted by Bang & Olufsen's BeoCom 6000 telephone. The product (""the Walkman of the twenty-first century"" ) was developed in less than one year and unveiled on October 23, 2001. Jobs announced it as a Mac-compatible product with a 5 GB hard drive that put ""1,000 songs in your pocket.""",in what year was the original iPod released?,2001,7603
"Roman religious beliefs date back to the founding of Rome, around 800 BC. However, the Roman religion commonly associated with the republic and early empire did not begin until around 500 BC, when Romans came in contact with Greek culture, and adopted many of the Greek religious beliefs. Private and personal worship was an important aspect of religious practices. In a sense, each household was a temple to the gods. Each household had an altar (lararium), at which the family members would offer prayers, perform rites, and interact with the household gods. Many of the gods that Romans worshiped came from the Proto-Indo-European pantheon, others were based on Greek gods. The two most famous deities were Jupiter (the king God) and Mars (the god of war). With its cultural influence spreading over most of the Mediterranean, Romans began accepting foreign gods into their own culture, as well as other philosophical traditions such as Cynicism and Stoicism.",What in Roman society was considered to be a temple to the gods?,each household,7612
"Also emerging during this period was New York's no wave movement, a short-lived art and music scene that began in part as a reaction against punk's recycling of traditionalist rock tropes and often reflected an abrasive, confrontational and nihilistic worldview. No wave musicians such as the Contortions, Teenage Jesus and the Jerks, Mars, DNA, Theoretical Girls and Rhys Chatham instead experimented with noise, dissonance and atonality in addition to non-rock styles. The former four groups were included on the Eno-produced No New York compilation, often considered the quintessential testament to the scene. The no wave-affiliated label ZE Records was founded in 1978, and would also produce acclaimed and influential compilations in subsequent years.","The Contortions, Teenage Jesus and the Jerks were all musicians part of what movement?",No wave,7613
"This situation prevailed until 1639, when most of Alsace was conquered by France so as to keep it out of the hands of the Spanish Habsburgs, who wanted a clear road to their valuable and rebellious possessions in the Spanish Netherlands. Beset by enemies and seeking to gain a free hand in Hungary, the Habsburgs sold their Sundgau territory (mostly in Upper Alsace) to France in 1646, which had occupied it, for the sum of 1.2 million Thalers. When hostilities were concluded in 1648 with the Treaty of Westphalia, most of Alsace was recognized as part of France, although some towns remained independent. The treaty stipulations regarding Alsace were complex; although the French king gained sovereignty, existing rights and customs of the inhabitants were largely preserved. France continued to maintain its customs border along the Vosges mountains where it had been, leaving Alsace more economically oriented to neighbouring German-speaking lands. The German language remained in use in local administration, in schools, and at the (Lutheran) University of Strasbourg, which continued to draw students from other German-speaking lands. The 1685 Edict of Fontainebleau, by which the French king ordered the suppression of French Protestantism, was not applied in Alsace. France did endeavour to promote Catholicism; Strasbourg Cathedral, for example, which had been Lutheran from 1524 to 1681, was returned to the Catholic Church. However, compared to the rest of France, Alsace enjoyed a climate of religious tolerance.",When did the Habsburgs  sell the Sundgau territory to France?,1646,7617
"Science came to play a leading role in Enlightenment discourse and thought. Many Enlightenment writers and thinkers had backgrounds in the sciences and associated scientific advancement with the overthrow of religion and traditional authority in favour of the development of free speech and thought. Scientific progress during the Enlightenment included the discovery of carbon dioxide (fixed air) by the chemist Joseph Black, the argument for deep time by the geologist James Hutton, and the invention of the steam engine by James Watt. The experiments of Lavoisier were used to create the first modern chemical plants in Paris, and the experiments of the Montgolfier Brothers enabled them to launch the first manned flight in a hot-air balloon on 21 November 1783, from the Château de la Muette, near the Bois de Boulogne.",Who launched the first manned flight in a hot-air balloon in November 1783?,the Montgolfier Brothers,7618
"Portugal spearheaded European exploration of the world and the Age of Discovery. Prince Henry the Navigator, son of King João I, became the main sponsor and patron of this endeavour. During this period, Portugal explored the Atlantic Ocean, discovering several Atlantic archipelagos like the Azores, Madeira, and Cape Verde, explored the African coast, colonized selected areas of Africa, discovered an eastern route to India via the Cape of Good Hope, discovered Brazil, explored the Indian Ocean, established trading routes throughout most of southern Asia, and sent the first direct European maritime trade and diplomatic missions to China and Japan.",What South American country did Portugal discover?,Brazil,7619
"The earliest examples of visual representations in Iranian history are traced back to the bas-reliefs of Persepolis, c. 500 BC. Persepolis was the ritual center of the ancient kingdom of Achaemenids, and the figures at Persepolis remain bound by the rules of grammar and syntax of visual language. The Iranian visual arts reached a pinnacle by the Sassanid Era. A bas-relief from this period in Taq Bostan depicts a complex hunting scene. Similar works from the period have been found to articulate movements and actions in a highly sophisticated manner. It is even possible to see a progenitor of the cinema close-up in one of these works of art, which shows a wounded wild pig escaping from the hunting ground.",What city was the ritual center of the Archaemenids?,Persepolis,7669
"In comparison, the 2010 Census Redistricting Data indicated that the racial makeup of the city was 661,839 (43.4%) African American, 626,221 (41.0%) White, 6,996 (0.5%) Native American, 96,405 (6.3%) Asian (2.0% Chinese, 1.2% Indian, 0.9% Vietnamese, 0.6% Cambodian, 0.4% Korean, 0.3% Filipino, 0.2% Pakistani, 0.1% Indonesian), 744 (0.0%) Pacific Islander, 90,731 (5.9%) from other races, and 43,070 (2.8%) from two or more races. Hispanic or Latino of any race were 187,611 persons (12.3%); 8.0% of Philadelphia is Puerto Rican, 1.0% Dominican, 1.0% Mexican, 0.3% Cuban, and 0.3% Colombian. The racial breakdown of Philadelphia's Hispanic/Latino population was 63,636 (33.9%) White, 17,552 (9.4%) African American, 3,498 (1.9%) Native American, 884 (0.47%) Asian, 287 (0.15%) Pacific Islander, 86,626 (46.2%) from other races, and 15,128 (8.1%) from two or more races. The five largest European ancestries reported in the 2010 United States Census Census included Irish (12.5%), Italian (8.4%), German (8.1%), Polish (3.6%), and English (3.0%).",What is the hispanic make-up of the population?,12.3%,7681
"Even as animal domestication became relatively widespread and after the development of agriculture, hunting was usually a significant contributor to the human food supply. The supplementary meat and materials from hunting included protein, bone for implements, sinew for cordage, fur, feathers, rawhide and leather used in clothing. Man's earliest hunting weapons would have included rocks, spears, the atlatl, and bows and arrows. Hunting is still vital in marginal climates, especially those unsuited for pastoral uses or agriculture.[citation needed] For example, Inuit people in the Arctic trap and hunt animals for clothing and use the skins of sea mammals to make kayaks, clothing, and footwear.",What was a significant contributor to the human food supply?,hunting,7706
"Intense media interest in the opinions and private lives of the royal family during the 1980s led to a series of sensational stories in the press, not all of which were entirely true. As Kelvin MacKenzie, editor of The Sun, told his staff: ""Give me a Sunday for Monday splash on the Royals. Don't worry if it's not true—so long as there's not too much of a fuss about it afterwards."" Newspaper editor Donald Trelford wrote in The Observer of 21 September 1986: ""The royal soap opera has now reached such a pitch of public interest that the boundary between fact and fiction has been lost sight of ... it is not just that some papers don't check their facts or accept denials: they don't care if the stories are true or not."" It was reported, most notably in The Sunday Times of 20 July 1986, that the Queen was worried that Margaret Thatcher's economic policies fostered social divisions and was alarmed by high unemployment, a series of riots, the violence of a miners' strike, and Thatcher's refusal to apply sanctions against the apartheid regime in South Africa. The sources of the rumours included royal aide Michael Shea and Commonwealth Secretary-General Shridath Ramphal, but Shea claimed his remarks were taken out of context and embellished by speculation. Thatcher reputedly said the Queen would vote for the Social Democratic Party—Thatcher's political opponents. Thatcher's biographer John Campbell claimed ""the report was a piece of journalistic mischief-making"". Belying reports of acrimony between them, Thatcher later conveyed her personal admiration for the Queen, and the Queen gave two honours in her personal gift—membership in the Order of Merit and the Order of the Garter—to Thatcher after her replacement as prime minister by John Major. Former Canadian Prime Minister Brian Mulroney said Elizabeth was a ""behind the scenes force"" in ending apartheid.",What did high public interest in the  private lives of the royal family cause in the press?,sensational stories,7713
"After 1517, when the new invention of printing made these texts widely available, the Dutch humanist Erasmus, who had studied Greek at the Venetian printing house of Aldus Manutius, began a philological analysis of the Gospels in the spirit of Valla, comparing the Greek originals with their Latin translations with a view to correcting errors and discrepancies in the latter. Erasmus, along with the French humanist Jacques Lefèvre d'Étaples, began issuing new translations, laying the groundwork for the Protestant Reformation. Henceforth Renaissance humanism, particularly in the German North, became concerned with religion, while Italian and French humanism concentrated increasingly on scholarship and philology addressed to a narrow audience of specialists, studiously avoiding topics that might offend despotic rulers or which might be seen as corrosive of faith. After the Reformation, critical examination of the Bible did not resume until the advent of the so-called Higher criticism of the 19th-century German Tübingen school.",What text still remained without the type of thorough review that others texts had received by the 18th century?,the Bible,7718
"The dynasty lost control of peripheral territories bit by bit. In return for promises of support against the British and the French, the Russian Empire took large chunks of territory in the Northeast in 1860. The period of cooperation between the reformers and the European powers ended with the Tientsin Massacre of 1870, which was incited by the murder of French nuns set off by the belligerence of local French diplomats. Starting with the Cochinchina Campaign in 1858, France expanded control of Indochina. By 1883, France was in full control of the region and had reached the Chinese border. The Sino-French War began with a surprise attack by the French on the Chinese southern fleet at Fuzhou. After that the Chinese declared war on the French. A French invasion of Taiwan was halted and the French were defeated on land in Tonkin at the Battle of Bang Bo. However Japan threatened to enter the war against China due to the Gapsin Coup and China chose to end the war with negotiations. The war ended in 1885 with the Treaty of Tientsin (1885) and the Chinese recognition of the French protectorate in Vietnam.",What triggered the Tientsin Massacre?,murder of French nuns,7727
"In the closely contested 2000 election, the state played a pivotal role. Out of more than 5.8 million votes for the two main contenders Bush and Al Gore, around 500 votes separated the two candidates for the all-decisive Florida electoral votes that landed Bush the election win. Florida's felony disenfranchisement law is more severe than most European nations or other American states. A 2002 study in the American Sociological Review concluded that ""if the state’s 827,000 disenfranchised felons had voted at the same rate as other Floridians, Democratic candidate Al Gore would have won Florida—and the presidency—by more than 80,000 votes.""",What hapend in the 2000 election ,"Out of more than 5.8 million votes for the two main contenders Bush and Al Gore, around 500 votes separated the two candidates",7746
"In 1986, the Compact of Free Association with the United States entered into force, granting the Republic of the Marshall Islands (RMI) its sovereignty. The Compact provided for aid and U.S. defense of the islands in exchange for continued U.S. military use of the missile testing range at Kwajalein Atoll. The independence procedure was formally completed under international law in 1990, when the UN officially ended the Trusteeship status pursuant to Security Council Resolution 683.",What Security Council Resolution ended UN Trusteeship over the Marshalls?,Security Council Resolution 683,7831
"Greek citizens who are Roman Catholic are estimated to be at around 50,000 with the Roman Catholic immigrant community in the country approximately 200,000. Old Calendarists account for 500,000 followers. Protestants, including Greek Evangelical Church and Free Evangelical Churches, stand at about 30,000. Assemblies of God, International Church of the Foursquare Gospel and other Pentecostal churches of the Greek Synod of Apostolic Church have 12,000 members. Independent Free Apostolic Church of Pentecost is the biggest Protestant denomination in Greece with 120 churches. There are not official statistics about Free Apostolic Church of Pentecost, but the Orthodox Church estimates the followers as 20,000. The Jehovah's Witnesses report having 28,874 active members. In recent years there has been a small-scale revival of the ancient Greek religion, with estimates of 2,000 people active practitioners, and 100,000 ""sympathisers"".",How many Jehovah's Witnesses are in Greece?,"28,874",7838
"The earliest known American lodges were in Pennsylvania. The Collector for the port of Pennsylvania, John Moore, wrote of attending lodges there in 1715, two years before the formation of the first Grand Lodge in London. The Premier Grand Lodge of England appointed a Provincial Grand Master for North America in 1731, based in Pennsylvania. Other lodges in the colony obtained authorisations from the later Antient Grand Lodge of England, the Grand Lodge of Scotland, and the Grand Lodge of Ireland, which was particularly well represented in the travelling lodges of the British Army. Many lodges came into existence with no warrant from any Grand Lodge, applying and paying for their authorisation only after they were confident of their own survival.",What is the earliest that lodges appeared in America?,1715,7850
"The illuminated ceiling was once popular in the 1960s and 1970s but fell out of favor after the 1980s. This uses diffuser panels hung like a suspended ceiling below fluorescent lights, and is considered general lighting. Other forms include neon, which is not usually intended to illuminate anything else, but to actually be an artwork in itself. This would probably fall under accent lighting, though in a dark nightclub it could be considered general lighting.",Normally neon lighting is considered what type of lighting?,accent lighting,7859
"As federal judge Alex Kozinski has pointed out, binding precedent as we know it today simply did not exist at the time the Constitution was framed. Judicial decisions were not consistently, accurately, and faithfully reported on both sides of the Atlantic (reporters often simply rewrote or failed to publish decisions which they disliked), and the United Kingdom lacked a coherent court hierarchy prior to the end of the 19th century. Furthermore, English judges in the eighteenth century subscribed to now-obsolete natural law theories of law, by which law was believed to have an existence independent of what individual judges said. Judges saw themselves as merely declaring the law which had always theoretically existed, and not as making the law. Therefore, a judge could reject another judge's opinion as simply an incorrect statement of the law, in the way that scientists regularly reject each other's conclusions as incorrect statements of the laws of science.",What are the natural theories of law that that the English judges in the eighteenth century used?,law was believed to have an existence independent of what individual judges said,7869
"Śuddhodana was determined to see his son become a king, so he prevented him from leaving the palace grounds. But at age 29, despite his father's efforts, Gautama ventured beyond the palace several times. In a series of encounters—known in Buddhist literature as the four sights—he learned of the suffering of ordinary people, encountering an old man, a sick man, a corpse and, finally, an ascetic holy man, apparently content and at peace with the world. These experiences prompted Gautama to abandon royal life and take up a spiritual quest.",At what age did Gautama venture out from the palace area?,29,7872
"A predator's effect on its prey species is hard to see in the short-term. However, if observed over a longer period of time, it is seen that the population of a predator will correlationally rise and fall with the population of its prey in a cycle similar to the boom and bust cycle of economics. If a predator overhunts its prey, the prey population will lower to numbers that are too scarce for the predators to find. This will cause the predator population to dip, decreasing the predation pressure on the prey population. The decrease in predators will allow the small number of prey left to slowly increase their population to somewhere around their previous abundance, which will allow the predator population to increase in response to the greater availability of resources. If a predator hunts its prey species to numbers too low to sustain the population in the short term, they can cause not only the extinction or extirpation of the prey but also the extinction of their own species, a phenomenon known as coextinction. This is a risk that wildlife conservationists encounter when introducing predators to prey that have not coevolved with the same or similar predators. This possibility depends largely on how well and how fast the prey species is able to adapt to the introduced predator. One way that this risk can be avoided is if the predator finds an alternative prey species or if an alternative prey species is introduced (something that ecologists and environmentalists try to avoid whenever possible). An alternative prey species would help to lift some of the predation pressure from the initial prey species, giving the population a chance to recover, however it does not guarantee that the initial prey species will be able to recover as the initial prey population may have been hunted to below sustainable numbers or to complete extinction.",Are predator's effects on prey easiest to see in the short-term or long-term?,longer period of time,7885
"As of September 2014, the greater Atlantic City area has one of the highest unemployment rates in the country at 13.8%, out of labor force of around 141,000.","As of September 2014, the greater Atlantic City area had one of the highest rates in the country of what?",unemployment,7886
"Travel and tourism continue to be extremely important for Portugal, with visitor numbers forecast to increase significantly in the future.[citation needed] However, the increasing competition from Eastern European destinations continues to develop, with the presence of similar attractions that are often cheaper in countries such as Croatia. Consequently, it has been necessary for the country to focus upon its niche attractions, such as health, nature and rural tourism, to stay ahead of its competitors.",How does Portugal compete with other areas for tourists?,focus upon its niche attractions,7887
"In the CFL, if the game is tied at the end of regulation play, then each team is given an equal number of chances to break the tie. A coin toss is held to determine which team will take possession first; the first team scrimmages the ball at the opponent's 35-yard line and advances through a series of downs until it scores or loses possession. If the team scores a touchdown, starting with the 2010 season, it is required to attempt a 2-point conversion. The other team then scrimmages the ball at the same 35-yard line and has the same opportunity to score. After the teams have completed their possessions, if one team is ahead, then it is declared the winner; otherwise, the two teams each get another chance to score, scrimmaging from the other 35-yard line. After this second round, if there is still no winner, during the regular season the game ends as a tie. In a playoff or championship game, the teams continue to attempt to score from alternating 35-yard lines, until one team is leading after both have had an equal number of possessions.",Which round of tie-breaking is the last possible round in a regular season CFL game?,second,7888
"Emotion, in everyday speech, is any relatively brief conscious experience characterized by intense mental activity and a high degree of pleasure or displeasure. Scientific discourse has drifted to other meanings and there is no consensus on a definition. Emotion is often intertwined with mood, temperament, personality, disposition, and motivation. In some theories, cognition is an important aspect of emotion. Those acting primarily on emotion may seem as if they are not thinking, but mental processes are still essential, particularly in the interpretation of events. For example, the realization of danger and subsequent arousal of the nervous system (e.g. rapid heartbeat and breathing, sweating, muscle tension) is integral to the experience of fear. Other theories, however, claim that emotion is separate from and can precede cognition.",What do some theories see as an important part of emotion?,cognition,7942
"Around 40 theatres are located in Hanover. The Opera House, the Schauspielhaus (Play House), the Ballhofeins, the Ballhofzwei and the Cumberlandsche Galerie belong to the Lower Saxony State Theatre. The Theater am Aegi is Hanover's big theatre for musicals, shows and guest performances. The Neues Theater (New Theatre) is the Boulevard Theatre of Hanover. The Theater für Niedersachsen is another big theatre in Hanover, which also has an own Musical-Company. Some of the most important Musical-Productions are the rock musicals of the German rock musician Heinz Rudolph Kunze, which take place at the Garden-Theatre in the Great Garden.",Who does the Cumberlandsche Galerie belong to?,Lower Saxony State Theatre,7943
"In the 2004 Democratic presidential primaries, John Kerry defeated several Democratic rivals, including Sen. John Edwards (D-North Carolina.), former Vermont Governor Howard Dean and retired Army General Wesley Clark. His victory in the Iowa caucuses is widely believed to be the tipping point where Kerry revived his sagging campaign in New Hampshire and the February 3, 2004, primary states like Arizona, South Carolina and New Mexico. Kerry then went on to win landslide victories in Nevada and Wisconsin. Kerry thus won the Democratic nomination to run for President of the United States against incumbent George W. Bush. On July 6, 2004, he announced his selection of John Edwards as his running mate. Democratic strategist Bob Shrum, who was Kerry's 2004 campaign adviser, wrote an article in Time magazine claiming that after the election, Kerry had said that he wished he'd never picked Edwards, and that the two have since stopped speaking to each other. In a subsequent appearance on ABC's This Week, Kerry refused to respond to Shrum's allegation, calling it a ""ridiculous waste of time.""",Who won the 2004 Iowa Democratic Caucus?,John Kerry,7947
"Towns such as Castle Cary and Frome grew around the medieval weaving industry. Street developed as a centre for the production of woollen slippers and, later, boots and shoes, with C. & J. Clark establishing its headquarters in the town. C&J Clark's shoes are no longer manufactured there as the work was transferred to lower-wage areas, such as China and Asia. Instead, in 1993, redundant factory buildings were converted to form Clarks Village, the first purpose-built factory outlet in the UK. C&J Clark also had shoe factories, at one time at Bridgwater, Minehead, Westfield and Weston super Mare to provide employment outside the main summer tourist season, but those satellite sites were closed in the late 1980s, before the main site at Street. Dr. Martens shoes were also made in Somerset, by the Northampton-based R. Griggs Group, using redundant skilled shoemakers from C&J Clark; that work has also been transferred to Asia.",Why did Cj clark shoes leave the area ,"the work was transferred to lower-wage areas, such as China and Asia",7965
"For over a century, New Haven citizens had fought in the colonial militia alongside regular British forces, as in the French and Indian War. As the American Revolution approached, General David Wooster and other influential residents hoped that the conflict with the government in Britain could be resolved short of rebellion. On 23 April 1775, which is still celebrated in New Haven as Powder House Day, the Second Company, Governor's Foot Guard, of New Haven entered the struggle against the governing British parliament. Under Captain Benedict Arnold, they broke into the powder house to arm themselves and began a three-day march to Cambridge, Massachusetts. Other New Haven militia members were on hand to escort George Washington from his overnight stay in New Haven on his way to Cambridge. Contemporary reports, from both sides, remark on the New Haven volunteers' professional military bearing, including uniforms.",Power House Day is celebrated on what day in New Haven?,23 April,7997
"Hidalgo is hailed as the Father of the Nation even though it was Agustin de Iturbide and not Hidalgo who achieved Mexican Independence in 1821. Shortly after gaining independence, the day to celebrate it varied between September 16, the day of Hidalgo's Grito, and September 27, the day Iturbide rode into Mexico City to end the war. Later, political movements would favor the more liberal Hidalgo over the conservative Iturbide, so that eventually September 16, 1810 became the officially recognized day of Mexican independence. The reason for this is that Hidalgo is considered to be ""precursor and creator of the rest of the heroes of the (Mexican War of) Independence."" Hidalgo has become an icon for Mexicans who resist tyranny in the country. Diego Rivera painted Hidalgo's image in half a dozen murals. José Clemente Orozco depicted him with a flaming torch of liberty and considered the painting among his best work. David Alfaro Siqueiros was commissioned by San Nicolas University in Morelia to paint a mural for a celebration commemorating the 200th anniversary of Hidalgo's birth. The town of his parish was renamed Dolores Hidalgo in his honor and the state of Hidalgo was created in 1869. Every year on the night of 15–16 September, the president of Mexico re-enacts the Grito from the balcony of the National Palace. This scene is repeated by the heads of cities and towns all over Mexico. The remains of Miguel Hidalgo y Costilla lie in the column of the Angel of Independence in Mexico City. Next to it is a lamp lit to represent the sacrifice of those who gave their lives for Mexican Independence.",Which day eventually became the official day of Mexican Independence?,"September 16, 1810",8031
"Hops contain several characteristics that brewers desire in beer. Hops contribute a bitterness that balances the sweetness of the malt; the bitterness of beers is measured on the International Bitterness Units scale. Hops contribute floral, citrus, and herbal aromas and flavours to beer. Hops have an antibiotic effect that favours the activity of brewer's yeast over less desirable microorganisms and aids in ""head retention"", the length of time that a foamy head created by carbonation will last. The acidity of hops is a preservative.",The acidity of what ingredient acts as a preservative in beer?,hops,8032
"The island would serve Britain as a key military base for its colonial routes. By 1906, when the Famagusta harbour was completed, Cyprus was a strategic naval outpost overlooking the Suez Canal, the crucial main route to India which was then Britain's most important overseas possession. Following the outbreak of the First World War and the decision of the Ottoman Empire to join the war on the side of the Central Powers, on 5 November 1914 the British Empire formally annexed Cyprus and declared the Ottoman Khedivate of Egypt and Sudan a Sultanate and British protectorate.",Which side did the Ottoman Empire join in World War 1?,Central Powers,8033
"The Umayyads have met with a largely negative reception from later Islamic historians, who have accused them of promoting a kingship (mulk, a term with connotations of tyranny) instead of a true caliphate (khilafa). In this respect it is notable that the Umayyad caliphs referred to themselves not as khalifat rasul Allah (""successor of the messenger of God"", the title preferred by the tradition), but rather as khalifat Allah (""deputy of God""). The distinction seems to indicate that the Umayyads ""regarded themselves as God's representatives at the head of the community and saw no need to share their religious power with, or delegate it to, the emergent class of religious scholars."" In fact, it was precisely this class of scholars, based largely in Iraq, that was responsible for collecting and recording the traditions that form the primary source material for the history of the Umayyad period. In reconstructing this history, therefore, it is necessary to rely mainly on sources, such as the histories of Tabari and Baladhuri, that were written in the Abbasid court at Baghdad.",What is the Arabic term for kingship?,mulk,8034
"The description or representation of individual and group identity is a central task for psychologists, sociologists and anthropologists and those of other disciplines where ""identity"" needs to be mapped and defined. How should one describe the identity of another, in ways which encompass both their idiosyncratic qualities and their group memberships or identifications, both of which can shift according to circumstance? Following on from the work of Kelly, Erikson, Tajfel and others Weinreich's Identity Structure Analysis (ISA), is ""a structural representation of the individual's existential experience, in which the relationships between self and other agents are organised in relatively stable structures over time … with the emphasis on the socio-cultural milieu in which self relates to other agents and institutions"" (Weinreich and Saunderson, (eds) 2003, p1). Using constructs drawn from the salient discourses of the individual, the group and cultural norms, the practical operationalisation of ISA provides a methodology that maps how these are used by the individual, applied across time and milieus by the ""situated self"" to appraise self and other agents and institutions (for example, resulting in the individual's evaluation of self and significant others and institutions).[citation needed]","The central task for psychologists, sociologists, and anthropologists is to describe what topics?",individual and group identity,8075
"In October 2014, the trial of six senior staff and journalists at The Sun newspaper began. All six were charged with conspiring to commit misconduct in a public office. They included The Sun's head of news Chris Pharo, who faced six charges, while ex-managing editor Graham Dudman and ex-Sun deputy news editor Ben O'Driscoll were accused of four charges each. Thames Valley district reporter Jamie Pyatt and picture editor John Edwards were charged with three counts each, while ex-reporter John Troup was accused of two counts. The trial related to illegal payments allegedly made to public officials, with prosecutors saying the men conspired to pay officials from 2002–11, including police, prison officers and soldiers. They were accused of buying confidential information about the Royal Family, public figures and prison inmates. They all denied the charges. On 16 January 2015, Troup and Edwards were cleared by the jury of all charges against them. The jury also partially cleared O'Driscoll and Dudman but continued deliberating over other counts faced by them, as well as the charges against Pharo and Pyatt. On 21 January 2015, the jury told the court that it was unable to reach unanimous verdicts on any of the outstanding charges and was told by the judge, Richard Marks, that he would accept majority verdicts. Shortly afterwards, one of the jurors sent a note to the judge and was discharged. The judge told the remaining 11 jurors that their colleague had been ""feeling unwell and feeling under a great deal of pressure and stress from the situation you are in"", and that under the circumstances he was prepared to accept majority verdicts of ""11 to zero or 10 to 1"". On 22 January 2015, the jury was discharged after failing to reach verdicts on the outstanding charges. The Crown Prosecution Service (CPS) announced that it would seek a retrial.",Who was the judge in this particular case?,Richard Marks,8078
"The 1916 Zoning Resolution required setbacks in new buildings, and restricted towers to a percentage of the lot size, to allow sunlight to reach the streets below. The Art Deco style of the Chrysler Building (1930) and Empire State Building (1931), with their tapered tops and steel spires, reflected the zoning requirements. The buildings have distinctive ornamentation, such as the eagles at the corners of the 61st floor on the Chrysler Building, and are considered some of the finest examples of the Art Deco style. A highly influential example of the international style in the United States is the Seagram Building (1957), distinctive for its façade using visible bronze-toned I-beams to evoke the building's structure. The Condé Nast Building (2000) is a prominent example of green design in American skyscrapers and has received an award from the American Institute of Architects as well as AIA New York State for its design.",When was the Chrysler building built in NYC?,1930,8079
"TB infection begins when the mycobacteria reach the pulmonary alveoli, where they invade and replicate within endosomes of alveolar macrophages. Macrophages identify the bacterium as foreign and attempt to eliminate it by phagocytosis. During this process, the bacterium is enveloped by the macrophage and stored temporarily in a membrane-bound vesicle called a phagosome. The phagosome then combines with a lysosome to create a phagolysosome. In the phagolysosome, the cell attempts to use reactive oxygen species and acid to kill the bacterium. However, M. tuberculosis has a thick, waxy mycolic acid capsule that protects it from these toxic substances. M. tuberculosis is able to reproduce inside the macrophage and will eventually kill the immune cell.",What does the M. tuberculosis bacterium have that protects it from being affected by toxins?,mycolic acid capsule,8080
"Agriculture and forestry have declined in importance over the decades. Nevertheless, they are more important than in the most other areas of Germany, especially within rural regions. 54% of Thuringia's territory is in agricultural use. The fertile basins such as the large Thuringian Basin or the smaller Goldene Aue, Orlasenke and Osterland are in intensive use for growing cereals, vegetables, fruits and energy crops. Important products are apples, strawberries, cherries and plums in the fruit sector, cabbage, potatoes, cauliflower, tomatoes (grown in greenhouses), onions, cucumbers and asparagus in the vegetable sector, as well as maize, rapeseed, wheat, barley and sugar beets in the crop sector.",How much of Thuringia's territory is in agricultural use?,54%,8093
